Tags,Ticket,Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
,24598977,24/06/2016 05:41,24/06/2016 08:53,AUDCHF,Buy,0.01,0.00000,0.00000,0.71799,0.71907,0.0000,0.0000,10.8,0.82,0.00,"jay",0,00:03:12:31,3.2,6m,75.3,4.84,15.0,1.2,-72.5,-5.8,17.1,95.2,-4.20,-0.34
,24599109,24/06/2016 05:41,24/06/2016 08:53,AUDCHF,Buy,0.01,0.00000,0.00000,0.71799,0.71905,0.0000,0.0000,10.6,0.80,0.00,"jay",0,00:03:12:31,3.2,6m,75.3,4.84,15.0,1.2,-72.5,-5.8,17.1,95.0,-4.40,-0.35
,24599090,24/06/2016 05:41,24/06/2016 08:53,AUDCHF,Buy,0.01,0.00000,0.00000,0.71799,0.71905,0.0000,0.0000,10.6,0.80,0.00,"jay",0,00:03:12:31,3.2,6m,75.3,4.84,15.0,1.2,-72.5,-5.8,17.1,95.0,-4.40,-0.35
,24973899,24/06/2016 06:28,24/06/2016 08:50,AUDCHF,Buy,0.01,0.00000,0.71790,0.71673,0.71802,0.0000,0.0000,12.9,0.97,0.00,"[tp]",0,00:02:22:43,11.3,16m,70.2,4.64,12.9,1.032,-59.9,-4.792,17.7,100.0,0.00,0.00
,24993998,24/06/2016 07:03,24/06/2016 08:45,AUDCHF,Buy,0.01,0.00000,0.71668,0.71568,0.71669,0.0000,0.0000,10.1,0.77,0.00,"jay",0,00:01:42:27,7.9,8m,49.4,4.89,10.1,0.8079999999999999,-49.4,-3.952,17.0,100.0,0.00,0.00
,24994060,24/06/2016 07:03,24/06/2016 08:36,AUDCHF,Buy,0.01,0.00000,0.71571,0.71471,0.71571,0.0000,0.0000,10.0,0.76,0.00,"jay",0,00:01:33:03,2.2,2m,39.7,3.64,10.9,0.872,-39.7,-3.176,21.5,98.2,-0.90,-0.07
,25017465,24/06/2016 08:25,24/06/2016 08:34,AUDCHF,Buy,0.01,0.00000,0.71390,0.71290,0.71393,0.0000,0.0000,10.3,0.79,0.00,"jay[tp]",0,00:00:08:57,33.4,2m,13.9,0.67,12.9,1.032,-8.6,-0.688,60.0,87.9,-2.60,-0.21
,24998191,24/06/2016 07:16,24/06/2016 07:50,AUDCHF,Buy,0.01,0.00000,0.71500,0.71238,0.71521,0.0000,0.0000,28.3,2.17,0.00,"jay[tp]",0,00:00:33:35,97.1,32m,17.0,0.11,28.3,2.2640000000000002,-3.2,-0.256,89.8,100.0,0.00,0.00
,24996543,24/06/2016 07:11,24/06/2016 07:50,AUDCHF,Buy,0.01,0.00000,0.71500,0.71383,0.71521,0.0000,0.0000,13.8,1.06,0.00,"jay[tp]",0,00:00:38:42,7.7,2m,24.4,1.77,13.8,1.104,-24.4,-1.952,36.1,100.0,0.00,0.00
,24996570,24/06/2016 07:11,24/06/2016 07:46,AUDCHF,Buy,0.01,0.00000,0.71441,0.71341,0.71448,0.0000,0.0000,10.7,0.82,0.00,"jay[tp]",0,00:00:35:26,71.5,25m,20.2,1.89,10.7,0.856,-20.2,-1.6159999999999999,34.6,100.0,0.00,0.00
,24998138,24/06/2016 07:16,24/06/2016 07:19,AUDCHF,Buy,0.01,0.00000,0.71349,0.71249,0.71351,0.0000,0.0000,10.2,0.78,0.00,"jay[tp]",0,00:00:03:32,,,,,,,,,,,,
,24994134,24/06/2016 07:03,24/06/2016 07:04,AUDCHF,Buy,0.01,0.00000,0.71538,0.71438,0.71541,0.0000,0.0000,10.3,0.78,0.00,"jay[tp]",0,00:00:00:38,,,,,,,,,,,,
,24950081,24/06/2016 05:50,24/06/2016 06:17,AUDCHF,Buy,0.01,0.00000,0.71889,0.71789,0.71890,0.0000,0.0000,10.1,0.76,0.00,"jay[tp]",0,00:00:27:08,14.9,4m,48.5,4.80,10.1,0.8079999999999999,-48.5,-3.88,17.2,100.0,0.00,0.00
,24949939,24/06/2016 05:50,24/06/2016 06:08,AUDCHF,Buy,0.01,0.00000,0.71828,0.71728,0.71833,0.0000,0.0000,10.5,0.80,0.00,"jay[tp]",0,00:00:18:08,5.6,1m,42.4,4.04,10.5,0.84,-42.4,-3.392,19.8,100.0,0.00,0.00
,24955014,24/06/2016 05:56,24/06/2016 06:08,AUDCHF,Buy,0.01,0.00000,0.71697,0.71597,0.71703,0.0000,0.0000,10.6,0.81,0.00,"jay[tp]",0,00:00:11:32,33.4,3m,29.3,2.76,10.6,0.848,-29.3,-2.3440000000000003,26.6,100.0,0.00,0.00
,24949825,24/06/2016 05:50,24/06/2016 05:50,AUDCHF,Buy,0.01,0.00000,0.71762,0.71662,0.71783,0.0000,0.0000,12.1,0.91,0.00,"jay[tp]",0,00:00:00:30,,,,,,,,,,,,
,24352436,24/06/2016 05:41,24/06/2016 05:48,AUDCHF,Buy,0.01,0.00000,0.00000,0.71699,0.71823,0.0000,0.0000,12.4,0.93,0.00,"jay",0,00:00:07:35,14.3,1m,0.0,0.08,12.4,0.9920000000000001,0.0,0.0,100.0,100.0,0.00,0.00
,24352426,24/06/2016 05:41,24/06/2016 05:48,AUDCHF,Buy,0.01,0.00000,0.00000,0.71699,0.71823,0.0000,0.0000,12.4,0.93,0.00,"jay",0,00:00:07:35,14.3,1m,0.0,0.08,12.4,0.9920000000000001,0.0,0.0,100.0,100.0,0.00,0.00
,24353283,24/06/2016 05:41,24/06/2016 05:48,AUDCHF,Buy,0.01,0.00000,0.00000,0.71699,0.71827,0.0000,0.0000,12.8,0.96,0.00,"jay",0,00:00:07:34,14.3,1m,0.0,0.08,12.8,1.024,0.0,0.0,100.0,100.0,0.00,0.00
,24352446,24/06/2016 05:41,24/06/2016 05:48,AUDCHF,Buy,0.01,0.00000,0.00000,0.71699,0.71821,0.0000,0.0000,12.2,0.91,0.00,"jay",0,00:00:07:34,14.3,1m,0.0,0.08,12.2,0.854,0.0,0.0,100.0,100.0,0.00,0.00
,24353320,24/06/2016 05:43,24/06/2016 05:47,AUDCHF,Buy,0.01,0.00000,0.00000,0.71598,0.71730,0.0000,0.0000,13.2,0.99,0.00,"jay",0,00:00:04:18,25.0,1m,0.0,0.08,13.2,1.056,0.0,0.0,100.0,100.0,0.00,0.00
,24353329,24/06/2016 05:43,24/06/2016 05:47,AUDCHF,Buy,0.01,0.00000,0.00000,0.71598,0.71730,0.0000,0.0000,13.2,0.99,0.00,"jay",0,00:00:04:17,25.0,1m,0.0,0.08,13.2,1.056,0.0,0.0,100.0,100.0,0.00,0.00
,24283842,24/06/2016 05:43,24/06/2016 05:46,AUDCHF,Buy,0.01,0.00000,0.00000,0.71488,0.71681,0.0000,0.0000,19.3,1.45,0.00,"jay",0,00:00:02:56,,,,,,,,,,,,
,24283837,24/06/2016 05:43,24/06/2016 05:46,AUDCHF,Buy,0.01,0.00000,0.00000,0.71488,0.71658,0.0000,0.0000,17.0,1.28,0.00,"jay",0,00:00:02:56,,,,,,,,,,,,
,24283826,24/06/2016 05:43,24/06/2016 05:46,AUDCHF,Buy,0.01,0.00000,0.00000,0.71488,0.71575,0.0000,0.0000,8.7,0.65,0.00,"jay",0,00:00:02:56,,,,,,,,,,,,
,23964984,24/06/2016 05:43,24/06/2016 05:46,AUDCHF,Buy,0.01,0.00000,0.00000,0.71386,0.71517,0.0000,0.0000,13.1,0.99,0.00,"jay",0,00:00:02:52,,,,,,,,,,,,
,23970995,24/06/2016 05:43,24/06/2016 05:46,AUDCHF,Buy,0.01,0.00000,0.00000,0.71386,0.71516,0.0000,0.0000,13.0,0.98,0.00,"Nor",0,00:00:02:52,,,,,,,,,,,,
,23964943,24/06/2016 05:43,24/06/2016 05:46,AUDCHF,Buy,0.01,0.00000,0.00000,0.71386,0.71514,0.0000,0.0000,12.8,0.96,0.00,"jay",0,00:00:02:52,,,,,,,,,,,,
,23971017,24/06/2016 05:43,24/06/2016 05:45,AUDCHF,Buy,0.01,0.00000,0.00000,0.71386,0.71538,0.0000,0.0000,15.2,1.13,0.00,"Nor",0,00:00:02:20,,,,,,,,,,,,
,23971033,24/06/2016 05:43,24/06/2016 05:45,AUDCHF,Buy,0.01,0.00000,0.00000,0.71386,0.71494,0.0000,0.0000,10.8,0.81,0.00,"Nor",0,00:00:02:19,,,,,,,,,,,,
,23965082,24/06/2016 05:43,24/06/2016 05:45,AUDCHF,Buy,0.01,0.00000,0.00000,0.71280,0.71500,0.0000,0.0000,22.0,1.64,0.00,"jay",0,00:00:01:36,,,,,,,,,,,,
,23965049,24/06/2016 05:43,24/06/2016 05:45,AUDCHF,Buy,0.01,0.00000,0.00000,0.71280,0.71495,0.0000,0.0000,21.5,1.60,0.00,"jay",0,00:00:01:36,,,,,,,,,,,,
,23965004,24/06/2016 05:43,24/06/2016 05:45,AUDCHF,Buy,0.01,0.00000,0.00000,0.71386,0.71473,0.0000,0.0000,8.7,0.65,0.00,"jay",0,00:00:01:58,,,,,,,,,,,,
,23970918,24/06/2016 05:43,24/06/2016 05:45,AUDCHF,Buy,0.01,0.00000,0.00000,0.71280,0.71493,0.0000,0.0000,21.3,1.59,0.00,"Nor",0,00:00:01:35,,,,,,,,,,,,
,23970936,24/06/2016 05:43,24/06/2016 05:45,AUDCHF,Buy,0.01,0.00000,0.00000,0.71280,0.71472,0.0000,0.0000,19.2,1.43,0.00,"Nor",0,00:00:01:35,,,,,,,,,,,,
,23970958,24/06/2016 05:43,24/06/2016 05:45,AUDCHF,Buy,0.01,0.00000,0.00000,0.71280,0.71464,0.0000,0.0000,18.4,1.37,0.00,"Nor",0,00:00:01:34,,,,,,,,,,,,
,23970779,24/06/2016 05:43,24/06/2016 05:44,AUDCHF,Buy,0.01,0.00000,0.00000,0.71199,0.71344,0.0000,0.0000,14.5,1.09,0.00,"Nor",0,00:00:00:56,,,,,,,,,,,,
